qid,title,op1,op2,op3,op4,ans
2001,Assembler 翻機器碼時，duplicate symbol 在哪個pass被發現？,pass1,pass2,pass1及pass2,不一定,1
2002,算出Symbol之relative address是屬於,Assembler pass 1,Assembler pass 2,Loader pass 1,Loader pass 2,1
2003,LDA#3與THREE EQU 3，LDA #THREE 翻成machine code的結果為,相同,不同,無法判斷,語法有錯,1
2004,LDA#3與THREE EQU 3，LDA THREE 翻成machine code的結果為,相同,不同,無法判斷,語法有錯,2
2005,以下之程式需要幾個passes才能處理?ALPHA EQU BETA ;DELTA EQU STRING ;BETA BYTE ‘H’ ;STRING BYTE ‘H’,2 passes,3 passes,4 passes,5 passes,1
2006,以下之程式需要幾個passes才能處理?ALPHA EQU BETA ;BETA EQU DELTA ;DELTA EQU STRING ;STRING BYTE ‘H’,2 passes,3 passes,4 passes,5 passes,3
2007,以下之程式需要幾個passes才能處理?ALPHA EQU BETA ;  BETA EQU DELTA ;  DELTA EQU STRING ;  LINA EQU DELTA ;  DODN EQU ALPHA ;  STRING BYTE ‘H’,2 passes,3 passes,4 passes,5 passes,3
2008,有關Literal之說明，下列何者正確？,Literal為程式還未被定義之常數,Assembler遇到Literal會將literal記錄在Literal Table內,Assembler遇到END時，會將literal自literal Table內取出，並assign address給每個Literal,以上皆對,4
2009,以下之程式需要幾個passes才能處理?  ALPHA EQU DELTA;  STRING EQU BETA;  BETA BYTE ’2’;  DELTA BYTE ’2’,2 passes,3 passes,4 passes,5 passes,1
2010,以下之程式需要幾個passes才能處理?  ALPHA EQU STRING;  STRING EQU BETA;  BETA EQU DELTA;  DELTA BYTE ’2’,2 passes,3 passes,4 passes,5 passes,3
2011,以下之程式需要幾個passes才能處理?  ALPHA EQU STRING;  STRING EQU DELTA;  BETA EQU ALPHA;  DELTA BYTE ’2’,2 passes,3 passes,4 passes,5 passes,2
2012,以下之程式需要幾個passes才能處理?  ALPHA EQU DELTA;  BETA EQU ALPHA;  DELTA BYTE ’2’,2 passes,3 passes,4 passes,5 passes,1
2013,請問有關assembler pass1的敘述何者正確? 1.儲存變數及符號的地址 2.發現未定義的符號 3.計算變數及符號的地址 4.以上皆是,1，2,2，3,1，3,4,3
2014,請問assembler在解讀程式語法時，請問會在第幾個pass就會發現未定義的符號(undefined symbol)問題?,4 passes,3 passes,2 passes,1 passes,3
2015,請問assembler在解讀程式語法時，請問會在第幾個pass就會發現重複命名(duplicate definition)的問題?,3 passes,2 passes,1pass,4passes,3
2016,以下之程式需要幾個passes才能處理?  ALPHA EQU BETA;  BETA EQU DELTA;  DELTA DC F’2’,2 passes,3 passes,4 passes,5 passes,2
2017,假設程式並無forward reference時，需要幾個passes才能處理?,1 passes,2 passes,3 passes,4 passes,1
2018,當電腦在處理某個指令週期(Instruction Cycle)時，其program counter是,指向此指令,指向下一個指令,指向operand,不一定，依定址模式會有不同,2
2019,請問 = 屬於哪一個table ?,Instruction,Pseudo and Extra,Register,Delimiter,4
2020,請問token table的敘述何者正確?1.用來存放資料2.供查詢時使用3.沒有什麼用處4.以上皆非,1,2,1，2,4,3
2021,請問token table的敘述何者正確? 1.=屬於instruction table 2.symble table 內容會因為原始程式不同而不同 3.token不是電腦程式最小單位 4.以上皆非,1,2,1，3,4,2
2022,下列那個token table會隨著程式語言不同而不同,Symbol,Instruction,Integer,String,2
2023,下列那個token table不會隨著程式語言不同而不同,Instruction,Delimiter,Integer,Register,3
2024,下列那個token table會隨著程式語言不同而不同 a. Instruction ; b. Symbol ; c. Delimiter ; d. Integer,a,a，b,a，c,a，b，c，d,3
2025,下列那個token table會隨著程式語言不同而不同 a. Register ; b. Integer ; c. String ; d. Instruction,a,b，c,a，d,a，b，c，d,3
2026,下列那個token table會隨著程式語言不同而不同 a. Instruction ; b. Symbol ; c. Delimiter ; d. Integer,a,a，b,a，c,以上皆非,3
2027,下列那個token table不會隨著程式語言不同而不同 a. Symbol ; b. Instruction; c. delimiter ; d. register,a,a ， b,a，c,a，b，c，d,1
2028,下列那個token table不會隨著程式語言不同而不同 a. Delimiter ; b. Integer ; c. String ; d. Symbol,a,b，c,a，d,b，c，d,4
2029,下列那個token table不會隨著程式語言不同而不同 a. Delimiter ; b. Instruction ; c. Register ; d. Memory,a,a，b,a，c,以上皆非,4
2030,下列那個token table不會隨著程式語言不同而不同 a. Register ; b. Integer ; c. String ; d. Instruction,a,a，c,b，d,以上皆非,4
2031,當我們定義完某個程式語言之後，下列那個Token Table會隨著輸入之原始程式作改變?,Symbol,Instruction,Delimiter,Register,1
2032,當我們定義完某個程式語言之後，下列那個Token Table會隨著輸入之原始程式作改變? a. Instruction b. Delimiter c. Integer d. Register,a,c,a，d,b，c,2
2033,當我們定義完某個程式語言之後，下列那個Token Table會隨著輸入之原始程式作改變? a. String b. Integer c. Delimiter d. Register,a,a，b,c，d,以上皆是,2
2034,當我們定義完某個程式語言之後，下列那個Token Table會隨著輸入之原始程式作改變? a. String b. Integer c. Symbol d. Instruction,a,a，b,a，b，c,d,3
